ticker,base,quote,exchange,price,ask,bid,spread,volume
sol-BTC,sol,BTC,binance,7.004e-05,7.025e-05,7.008e-05,1.699999999999933e-07,422761.0
sol-usd,sol,usd,binance,1.6382,1.6399,1.6379,0.0020000000000000018,1385947.61
ctsi-BTC,ctsi,BTC,binance,2.41e-06,2.42e-06,2.4e-06,2.0000000000000232e-08,13780706.0
ctsi-usd,ctsi,usd,binance,0.05633,0.0564,0.0561,0.00030000000000000165,25421998.2
hive-BTC,hive,BTC,binance,5.68e-06,5.69e-06,5.68e-06,9.999999999999904e-09,2437218.0
hive-usd,hive,usd,binance,0.1325,0.1328,0.1325,0.0002999999999999947,4778049.5
chr-BTC,chr,BTC,binance,1.1e-06,1.11e-06,1.1e-06,9.999999999999904e-09,20305453.0
chr-usd,chr,usd,binance,0.02588,0.02588,0.02584,4.000000000000184e-05,26568803.5
btcup-usd,btcup,usd,binance,44.516,44.559,44.413,0.1460000000000008,222266.95
btcdown-usd,btcdown,usd,binance,0.899,0.901,0.896,0.0050000000000000044,9017566.23
gxs-usd,gxs,usd,binance,0.3763,0.3763,0.3741,0.0022000000000000353,394145.98
ardr-usd,ardr,usd,binance,0.07289,0.07292,0.07268,0.0002400000000000041,7829112.1
lend-usd,lend,usd,binance,0.51431,0.0,0.0,0.0,262.8
mdt-BTC,mdt,BTC,binance,9.5e-07,9.5e-07,9.4e-07,1.000000000000001e-08,23126985.0
mdt-usd,mdt,usd,binance,0.02232,0.02227,0.0221,0.00017,3789662.3
stmx-BTC,stmx,BTC,binance,1.2e-07,1.2e-07,1.1e-07,9.999999999999984e-09,182177812.0
stmx-eth,stmx,eth,binance,4.11e-06,4.12e-06,4.1e-06,2.0000000000000656e-08,64318134.0
stmx-usd,stmx,usd,binance,0.002655,0.002655,0.002654,9.99999999999699e-07,1149072432.0
knc-usd,knc,usd,binance,0.941,0.941,0.94,0.0010000000000000009,3223024.313
rep-usd,rep,usd,binance,18.733,18.77,18.733,0.036999999999999034,446631.821
lrc-usd,lrc,usd,binance,0.17108,0.17125,0.17097,0.00028000000000000247,8670810.3
pnt-BTC,pnt,BTC,binance,1.766e-05,1.777e-05,1.766e-05,1.1000000000000064e-07,652717.0
pnt-usd,pnt,usd,binance,0.4133,0.4155,0.4133,0.0021999999999999797,1060354.44
dgb-BTC,dgb,BTC,binance,9.7e-07,9.7e-07,9.6e-07,1.0000000000000116e-08,53966511.0
